Date;Open;High;Low;Close;Volume;Adj Close
15/07/1993;3964,649902;3964,649902;3676,969971;3676,969971;0;3676,969971
02/08/1993;3702,370117;5350,77002;3702,370117;5350,77002;0;5350,77002
01/09/1993;5242,819824;5507,879883;5012,680176;5363,930176;0;5363,930176
04/10/1993;5354,509766;6464,850098;5354,509766;6464,850098;0;6464,850098
01/11/1993;6510,009766;7236,870117;6225,450195;6914,410156;0;6914,410156
01/12/1993;7013,200195;9452,860352;7013,200195;8429,019531;0;8429,019531
03/01/1994;8456,419922;8456,419922;6990,879883;7222,97998;0;7222,97998
01/02/1994;7090,450195;7457,549805;6680,879883;6839,549805;0;6839,549805
01/03/1994;6696,819824;6696,819824;5468,669922;5620,169922;0;5620,169922
06/04/1994;5612,140137;5815,450195;5385,430176;5385,430176;0;5385,430176
02/05/1994;5240,089844;5414,299805;4598,109863;5368,709961;0;5368,709961
01/06/1994;5337,620117;5337,620117;4325,720215;4395,589844;0;4395,589844
01/07/1994;4377,220215;5397,370117;4238,569824;5397,370117;0;5397,370117
01/08/1994;5638,279785;5929,390137;5074,549805;5613,700195;0;5613,700195
01/09/1994;5945,799805;6781,490234;5602,100098;5975,459961;0;5975,459961
03/10/1994;5914,580078;6098,959961;5513,220215;6031,430176;0;6031,430176
01/11/1994;5913,490234;6039,72998;4731,330078;5089,22998;0;5089,22998
01/12/1994;5089,22998;5113,109863;3845,149902;4645,009766;0;4645,009766
03/01/1995;4644,879883;4645,009766;3750,959961;3888,919922;0;3888,919922
03/02/1995;3880,409912;4730,029785;3857,52002;4460,850098;0;4460,850098
01/03/1995;4448,779785;4525,509766;4049,110107;4455,720215;0;4455,720215
03/04/1995;4448,52002;4448,52002;3984,139893;4029,300049;0;4029,300049
01/05/1995;4029,300049;4779,839844;3971,810059;4688,990234;0;4688,990234
01/06/1995;4688,990234;4776,709961;4430,890137;4474,660156;0;4474,660156
03/07/1995;4466,799805;4794,470215;4404,009766;4635,060059;0;4635,060059
01/08/1995;4635,060059;4692,470215;3981,840088;4028,310059;0;4028,310059
01/09/1995;4022,050049;4267,740234;3879,879883;3895,689941;0;3895,689941
02/10/1995;3895,689941;3996,090088;3693,379883;3715,919922;0;3715,919922
02/11/1995;3715,919922;3732,51001;2921,090088;3401,01001;0;3401,01001
01/12/1995;3401,01001;3450,469971;3129,179932;3287,679932;0;3287,679932
02/01/1996;3288,590088;4041,679932;3285,370117;3795,600098;0;3795,600098
01/02/1996;3795,600098;4112,629883;3734,030029;3955,530029;0;3955,530029
01/03/1996;3956,050049;4007,290039;3502,399902;3684,909912;0;3684,909912
01/04/1996;3689,72998;3881,580078;3421,810059;3585,469971;0;3585,469971
01/05/1996;3590,159912;3837,419922;3451,25;3665,330078;0;3665,330078
03/06/1996;3665,330078;3665,330078;3439,050049;3476,52002;0;3476,52002
01/07/1996;3476,52002;3517,340088;3279,949951;3288,199951;0;3288,199951
01/08/1996;3288,199951;3671,370117;3282,77002;3516,72998;0;3516,72998
02/09/1996;3517,120117;3517,120117;3349,51001;3480,870117;0;3480,870117
01/10/1996;3480,52002;3753,090088;3425,23999;3439,870117;0;3439,870117
01/11/1996;3434,840088;3546,52002;3334,570068;3527,550049;0;3527,550049
02/12/1996;3527,550049;4500,75;3527,550049;4257,890137;0;4257,890137
02/01/1997;4257,279785;4664,97998;4179,290039;4221,799805;0;4221,799805
03/02/1997;4233,830078;4567,930176;3983,75;4486,160156;0;4486,160156
03/03/1997;4483,819824;4611,180176;4086,800049;4193,100098;0;4193,100098
01/04/1997;4143,680176;4789,430176;4060,399902;4635,240234;0;4635,240234
01/05/1997;4649,649902;5000,950195;4359,580078;4712,439941;0;4712,439941
02/06/1997;4717,259766;4752,220215;4019,360107;4411,52002;0;4411,52002
03/07/1997;4431,669922;5470,490234;4071,030029;5460,890137;0;5460,890137
01/08/1997;5558,850098;7742,879883;5454,200195;6349,680176;0;6349,680176
01/09/1997;6555,600098;6614,310059;4326,410156;5248,680176;0;5248,680176
03/10/1997;5260,399902;5307,689941;3054,659912;4191,27002;0;4191,27002
