Date;Open;High;Low;Close;Volume;Adj Close
01/11/2016;5317,700195;5370,700195;5052,100098;5370,700195;0;5370,700195
03/10/2016;5435,899902;5498;5261,399902;5317,700195;0;5317,700195
01/09/2016;5433;5473,299805;5192,200195;5435,899902;0;5435,899902
01/08/2016;5562,399902;5611,200195;5412,600098;5433;0;5433
01/07/2016;5233,399902;5570,399902;5148,700195;5562,299805;0;5562,299805
01/06/2016;5378,600098;5392,5;5051;5233,399902;0;5233,399902
02/05/2016;5252,200195;5427,700195;5182,200195;5378,600098;0;5378,600098
01/04/2016;5082,799805;5281,600098;4893,5;5252,200195;0;5252,200195
01/03/2016;4880,899902;5216,200195;4868,100098;5082,799805;0;5082,799805
01/02/2016;5005,5;5073;4706,700195;4880,899902;0;4880,899902
04/01/2016;5295,899902;5331,399902;4803,899902;5005,5;0;5005,5
01/12/2015;5166,5;5325,799805;4909,600098;5295,899902;0;5295,899902
02/11/2015;5239,399902;5313,700195;4979,200195;5166,5;0;5166,5
01/10/2015;5021,700195;5384,799805;5021,700195;5239,399902;0;5239,399902
01/09/2015;5207;5221,100098;4918,399902;5021,600098;34574500;5021,600098
03/08/2015;5699,200195;5727,700195;4928,299805;5207;0;5207
01/07/2015;5459;5718,899902;5383,700195;5699,200195;0;5699,200195
01/06/2015;5777,200195;5777,200195;5390,5;5459;0;5459
01/05/2015;5790;5901,799805;5574,600098;5777,200195;0;5777,200195
01/04/2015;5891,5;5996,399902;5749,899902;5790;0;5790
02/03/2015;5928,799805;5996,899902;5748,700195;5891,5;0;5891,5
02/02/2015;5588,299805;5955,5;5588,299805;5928,799805;0;5928,799805
02/01/2015;5411;5619,5;5267,399902;5588,299805;0;5588,299805
01/12/2014;5313;5486,700195;5142,799805;5411;254562800;5411
03/11/2014;5526,600098;5550,299805;5292,899902;5313;579617900;5313
01/10/2014;5292,799805;5526,600098;5122;5526,600098;658152900;5526,600098
01/09/2014;5625,899902;5672,700195;5253,100098;5292,799805;621233300;5292,799805
01/08/2014;5632,899902;5679,5;5425,200195;5625,899902;643462700;5625,899902
01/07/2014;5395,700195;5644,200195;5370,899902;5632,899902;550377700;5632,899902
02/06/2014;5484,100098;5526;5373,600098;5395,700195;648226000;5395,700195
01/05/2014;5489,100098;5541,700195;5372,100098;5492,5;610837600;5492,5
01/04/2014;5394,799805;5554,5;5350,5;5489,100098;588012300;5489,100098
03/03/2014;5404,799805;5462,299805;5288,5;5394,799805;703314200;5394,799805
03/02/2014;5190;5461,700195;5052,200195;5404,799805;734607100;5404,799805
02/01/2014;5352,200195;5383,399902;5158,899902;5190;519725200;5190
02/12/2013;5320;5367,399902;5028,200195;5352,200195;634746500;5352,200195
01/11/2013;5425,5;5439,200195;5284,899902;5320,100098;622997300;5320,100098
01/10/2013;5218,899902;5457,299805;5118,899902;5425,5;541669500;5425,5
02/09/2013;5135;5314,299805;5115,100098;5218,899902;651340500;5218,899902
01/08/2013;5052;5168,200195;5007,899902;5135;717313000;5135
01/07/2013;4802,600098;5098,5;4702,700195;5052;108600500;5052
03/06/2013;4926,600098;4933,299805;4632,299805;4802,600098;0;4802,600098
01/05/2013;5187,299805;5249,600098;4897,899902;4926,600098;0;4926,600098
02/04/2013;4966,5;5195,100098;4883,700195;5191,200195;0;5191,200195
01/03/2013;5104,100098;5163,5;4927,899902;4966,5;0;4966,5
01/02/2013;4878,799805;5112,5;4869,5;5104,100098;0;5104,100098
02/01/2013;4648,899902;4906,200195;4648,899902;4878,799805;0;4878,799805
03/12/2012;4506;4688,600098;4500,200195;4649;0;4649
01/11/2012;4517;4519,299805;4334,299805;4506;0;4506
01/10/2012;4387;4581,799805;4375;4517;0;4517
03/09/2012;4310;4421;4261,200195;4387;0;4387
01/08/2012;4269,200195;4403,899902;4212,700195;4316,100098;0;4316,100098
02/07/2012;4094,600098;4288,100098;4062,300049;4269,200195;0;4269,200195
01/06/2012;4076,300049;4159,299805;3985;4094,600098;0;4094,600098
01/05/2012;4398,600098;4448,5;4024,800049;4076,300049;0;4076,300049
02/04/2012;4349,399902;4397,899902;4248,899902;4396,600098;0;4396,600098
01/03/2012;4291;4361,100098;4143,700195;4335,200195;0;4335,200195
01/02/2012;4258,899902;4318,799805;4170,200195;4298,5;0;4298,5
03/01/2012;4069,899902;4315,600098;4069,100098;4262,700195;0;4262,700195
01/12/2011;4157,5;4335,200195;4038,100098;4056,600098;0;4056,600098
01/11/2011;4278,100098;4365;3973,800049;4119,799805;0;4119,799805
03/10/2011;3990,600098;4417,600098;3840,199951;4298,100098;0;4298,100098
01/09/2011;4297,899902;4354,600098;3862,399902;4008,600098;0;4008,600098
01/08/2011;4440,899902;4517,399902;3765,899902;4296,5;0;4296,5
01/07/2011;4612,200195;4657,399902;4421,100098;4424,600098;0;4424,600098
01/06/2011;4711,299805;4724,799805;4451,700195;4608;0;4608
02/05/2011;4826,299805;4835,5;4582,700195;4708,299805;0;4708,299805
01/04/2011;4836,100098;4976,399902;4788,600098;4823,200195;40169400;4823,200195
01/03/2011;4839,700195;4864,299805;4477,399902;4837,899902;0;4837,899902
01/02/2011;4759,100098;4944,399902;4751,799805;4831,700195;76887100;4831,700195
04/01/2011;4758,299805;4839,200195;4686,5;4753,899902;43505300;4753,899902
01/12/2010;4581,399902;4811,899902;4557;4745,200195;53885700;4745,200195
01/11/2010;4665,700195;4815;4551,200195;4584,399902;63868500;4584,399902
01/10/2010;4593,100098;4725,899902;4559;4661,600098;0;4661,600098
01/09/2010;4413,299805;4698;4413,299805;4582,899902;0;4582,899902
02/08/2010;4495,100098;4598,700195;4313,899902;4404,200195;0;4404,200195
01/07/2010;4284,600098;4531,600098;4182,299805;4493,5;0;4493,5
01/06/2010;4430,600098;4622;4249,5;4301,5;0;4301,5
03/05/2010;4782,799805;4804,5;4175,700195;4429,700195;0;4429,700195
01/04/2010;4880;5025,100098;4779,299805;4807,399902;47179000;4807,399902
01/03/2010;4633,100098;4928,899902;4633,100098;4875,5;0;4875,5
01/02/2010;4569,899902;4718,299805;4464,899902;4637,700195;0;4637,700195
04/01/2010;4864,899902;4955,100098;4566,700195;4569,600098;0;4569,600098
01/12/2009;4696,899902;4873,600098;4596,200195;4870,600098;0;4870,600098
02/11/2009;4611;4799;4502,5;4701,399902;0;4701,399902
01/10/2009;4738,799805;4895,299805;4562,5;4643,200195;0;4643,200195
01/09/2009;4476,600098;4767,899902;4410;4743,600098;0;4743,600098
03/08/2009;4245,899902;4537,200195;4244,600098;4479,100098;0;4479,100098
01/07/2009;3939,5;4247,899902;3709,199951;4244;0;4244
01/06/2009;3826,399902;4079,399902;3767,899902;3954,899902;0;3954,899902
01/05/2009;3771,399902;3960,399902;3714,899902;3818;0;3818
01/04/2009;3583,600098;3851,199951;3550,899902;3780,5;0;3780,5
02/03/2009;3329,399902;3706,600098;3120,800049;3582,100098;0;3582,100098
02/02/2009;3519,399902;3578,699951;3296,199951;3344,5;0;3344,5
02/01/2009;3723,899902;3817,899902;3342,699951;3540,699951;0;3540,699951
01/12/2008;3738,899902;3738,899902;3474,100098;3722,300049;0;3722,300049
03/11/2008;4041,600098;4340,5;3217,5;3742,5;0;3742,5
01/10/2008;4636,299805;4832,5;3724,800049;4018;0;4018
01/09/2008;5128,700195;5177,200195;4527,399902;4600,5;0;4600,5
01/08/2008;4971,700195;5146,299805;4758,5;5135,600098;0;5135,600098
01/07/2008;5230,100098;5231,899902;4787,5;4977,399902;0;4977,399902
02/06/2008;5671,899902;5681,5;5144,700195;5215,299805;0;5215,299805
01/05/2008;5592,600098;5980,799805;5538,700195;5654,700195;0;5654,700195
01/04/2008;5363,399902;5672,700195;5301;5595,399902;0;5595,399902
03/03/2008;5534,299805;5535,200195;5039,600098;5355,700195;0;5355,700195
01/02/2008;5672,600098;6022;5490,399902;5572,100098;0;5572,100098
02/01/2008;6336,600098;6385,700195;5186,799805;5650,299805;0;5650,299805
03/12/2007;6535,200195;6684,399902;6105,600098;6339,799805;0;6339,799805
01/11/2007;6778,399902;6851,5;6312,600098;6533,100098;0;6533,100098
01/10/2007;6567,600098;6800,200195;6542,899902;6754,100098;0;6754,100098
03/09/2007;6253,700195;6594,399902;6146,5;6567,799805;0;6567,799805
01/08/2007;6138,600098;6247,200195;5483,299805;6247,200195;0;6247,200195
02/07/2007;6282;6436,700195;6044,299805;6144,200195;0;6144,200195
01/06/2007;6321;6409,200195;6170,200195;6274,899902;0;6274,899902
01/05/2007;6163,200195;6384,100098;6134,200195;6313,5;0;6313,5
02/04/2007;5994;6265,200195;5915,799805;6166;0;6166
01/03/2007;5840,600098;5998,899902;5641,100098;5995;0;5995
01/02/2007;5781,299805;6052,100098;5781,299805;5832,5;0;5832,5
02/01/2007;5672,700195;5829,299805;5499;5773,399902;0;5773,399902
01/12/2006;5486;5684,399902;5411;5669,899902;0;5669,899902
01/11/2006;5390,700195;5496,299805;5322,399902;5482,100098;90859300;5482,100098
02/10/2006;5153;5409,899902;5142,700195;5384,399902;54396200;5384,399902
01/09/2006;5113,5;5164,200195;4961,299805;5154,100098;0;5154,100098
01/08/2006;4981,600098;5115,399902;4919,5;5115,399902;0;5115,399902
03/07/2006;5075,5;5146,600098;4899,899902;4986;0;4986
01/06/2006;5018,200195;5120;4758,299805;5073,899902;0;5073,899902
01/05/2006;5273,799805;5406,700195;4976,799805;5001,700195;0;5001,700195
03/04/2006;5127,600098;5336,600098;5122,100098;5258,799805;0;5258,799805
01/03/2006;4913,5;5138,5;4844,799805;5129,700195;0;5129,700195
01/02/2006;4937,399902;4982,600098;4790,799805;4921,299805;0;4921,299805
02/01/2006;4774,799805;4964,100098;4749,200195;4929,600098;0;4929,600098
01/12/2005;4625,700195;4775,799805;4549,299805;4763,399902;0;4763,399902
01/11/2005;4463,600098;4680,100098;4441,799805;4634,799805;0;4634,799805
03/10/2005;4642,200195;4654,299805;4311,100098;4459,700195;0;4459,700195
01/09/2005;4454,299805;4679,100098;4440,899902;4641,200195;0;4641,200195
01/08/2005;4388,299805;4502,200195;4361,399902;4446,799805;0;4446,799805
